Districts,Deaths Male,Deaths Female,Grievous Injury Male,Grievous Injury Female,Non Grievous Injury Male,Non Grievous Injury Female,Total
Ampara ,70,9,253,40,584,112,1068
Anuradhapura,118,25,402,99,747,224,1615
Badulla (Badulla & Bandarawela Divisions),64,6,154,33,300,137,694
Batticaloa ,54,4,107,25,320,68,578
Chilaw (Chilaw & Puttalam Divisions),100,19,198,26,377,78,798
"Colombo (Colombo-South, North, Central, Mt. Lavinia & Nugegoda Divisions)",235,73,985,286,2024,643,4246
Galle (Galle & Elpitiya Divisions),155,28,311,91,938,290,1813
"Gampaha (Gampaha, Negombo & Kelaniya Divisions)",332,71,769,157,2064,497,3890
Jaffna (Jaffna & KKS Divisions),51,7,87,33,284,85,547
Kalutara (Kalutara & Panadura Divisions),122,38,354,95,918,245,1772
Kandy (Kandy & Gampola Divisions),94,32,261,81,877,378,1723
Kegalle (Kegalle & Seethawaka Divisions),74,20,242,74,536,238,1184
Kilinochchi (Kilinochchi & Mankulam Divisions),23,2,35,6,95,15,176
"Kurunegala (Kurunegala, Kuliyapitiya & Nikaweratiya Divisions)",215,33,655,135,1285,306,2629
Mannar ,7,2,35,8,88,21,161
Matale ,48,14,224,34,399,144,863
Matara ,71,15,139,48,405,138,816
Monaragala ,54,11,225,46,369,118,823
Mullativ ,0,0,2,2,4,0,8
Nuwara-Eliya (Nuwara-Eliya & Hatton Divisions),30,6,87,33,228,104,488
Polonnaruwa ,67,8,207,52,394,110,838
Ratnapura ,112,20,316,70,482,160,1160
Tangalle (Tangalle Division),107,18,194,47,353,88,807
Trincomalee (Trincomalee & Kantale Divisions),27,3,88,17,312,67,514
Vavuniya ,20,7,52,11,208,59,357
Total,2250,471,6382,1549,14591,4325,29568
